Lista completa de codigos ascii	formato: texto plano	www.elcodigoasii.com.ar		

		simbolo	
codigo ascii	141	ì	( letra "i" minuscula con acento grave )
codigo ascii	142	Ä	( letra "A" mayuscula con dieresis )
codigo ascii	143	Å	( letra "a" mayuscula con anillo )
codigo ascii	144	É	( letra "e" mayuscula con acento agudo )
codigo ascii	145	æ	( Diptongo "ae" latino minuscula )
codigo ascii	146	Æ	( Diptongo "AE" latino mayuscula )
codigo ascii	147	ô	( Letra "o" minuscula con acento circunflejo )
codigo ascii	148	ö	( Letra "o" minuscula con dieresis )
codigo ascii	149	ò	( Letra "o" minuscula con acento grave )
codigo ascii	150	û	( Letra "u" minuscula con acento circunflejo )
codigo ascii	151	ù	( Letra "u" minuscula con acento grave )
codigo ascii	152	ÿ	( Letra "y" minuscula con dieresis )
codigo ascii	153	Ö	( Letra "O" mayuscula con dieresis )
codigo ascii	154	Ü	( Letra "U" mayuscula con dieresis )
codigo ascii	155	ø	( Letra "o" minuscula con barra )
codigo ascii	156	£	( signo Libra Esterlina )
codigo ascii	157	Ø	( Letra "O" mayuscula con barra )
codigo ascii	158	×	( signo de multiplicación )
codigo ascii	159	ƒ	( símbolo matemático de función, florín neerlandés )
codigo ascii	160	á	( letra "a" minúscula con acento )
codigo ascii	161	í	( letra "i" minuscula con acento agudo )
codigo ascii	162	ó	( letra "o" minuscula con acento )
codigo ascii	163	ú	( letra "u" minuscula con acento )
codigo ascii	164	ñ	( letra ñ minúscula, n minuscula con tilde, enie )
codigo ascii	165	Ñ	( letra Ñ mayúscula, N mayuscula con tilde, ENIE )
codigo ascii	166	ª	( ordinal femenino, indicador de genero femenino )
codigo ascii	167	º	( ordinal masculino, indicador de genero masculino )
codigo ascii	168	¿	( abre signo interrogación )
codigo ascii	169	®	( Símbolo de Marca Registrada )
codigo ascii	170	¬	( signo de negación )
codigo ascii	171	½	( Un medio, mitad, fracción )
codigo ascii	172	¼	( Un cuarto, cuarta parte, fracción )
codigo ascii	173	¡	( abre signo de exclamacion )
codigo ascii	174	«	( Abre comillas bajas, apertura comillas angulares, latinas o españolas )
codigo ascii	175	»	( Cierra comillas bajas, cierre comillas angulares, latinas o españolas )
codigo ascii	176	░	( Bloque color tramado densidad baja, carácter gráfico )
codigo ascii	177	▒	( Bloque color tramado densidad media, gráfico )
codigo ascii	178	▓	( Bloque color tramado densidad alta, carácter gráfico )
codigo ascii	179	│	( Línea simple vertical de recuadro gráfico )
codigo ascii	180	┤	( Línea vertical con empalme de recuadro gráfico )
codigo ascii	181	Á	( letra "a" mayuscula con acento agudo )
codigo ascii	182	Â	( letra "A" mayuscula con acento circunflejo )
codigo ascii	183	À	( letra "A" mayuscula con acento grave )
codigo ascii	184	©	( Símbolo Copyright, bajo derecho de autor )
codigo ascii	185	╣	( Doble línea vertical empalme izquierdo recuadro gráfico )
codigo ascii	186	║	( Líneas doble vertical de recuadro gráfico, dos verticales )
codigo ascii	187	╗	( Línea doble esquina de recuadro gráfico )
codigo ascii	188	╝	( Línea doble esquina de recuadro gráfico )
codigo ascii	189	¢	( signo centavo, céntimo o centésimo )
codigo ascii	190	¥	( signo monetario YEN japones, YUAN chino )
codigo ascii	191	┐	( Línea simple esquina de recuadro gráfico )
codigo ascii	192	└	( Línea simple esquina de recuadro gráfico )
codigo ascii	193	┴	( Línea horizontal con empalme de recuadro gráfico )
codigo ascii	194	┬	( Línea horizontal con empalme de recuadro gráfico ) 
codigo ascii	195	├	( Línea vertical con empalme de recuadro gráfico )
codigo ascii	196	─	( Línea simple horizontal de recuadro gráfico ) 
codigo ascii	197	┼	( Líneas simples empalmes de recuadro gráfico )
codigo ascii	198	ã	( letra "A" minuscula con tilde )
codigo ascii	199	Ã	( letra "A" mayuscula con tilde )
codigo ascii	200	╚	( Línea doble esquina de recuadro gráfico )
codigo ascii	201	╔	( Línea doble esquina de recuadro gráfico )
codigo ascii	202	╩	( Doble línea horizontal empalme arriba recuadro gráfico )
codigo ascii	203	╦	( Doble línea horizontal empalme abajo recuadro gráfico )
codigo ascii	204	╠	( Doble línea vertical empalme derecho de recuadro gráfico )
codigo ascii	205	═	( Líneas doble horizontales de recuadro gráfico )
codigo ascii	206	╬	( Líneas dobles cruce de líneas de recuadro gráfico )
codigo ascii	207	¤	( Signo monetario, divisa general )
codigo ascii	208	ð	( letra eth latina minúscula )
codigo ascii	209	Ð	( letra eth latina mayúscula )
codigo ascii	210	Ê	( letra "E" mayuscula con acento circunflejo )
codigo ascii	211	Ë	( letra "E" mayuscula con dieresis )
codigo ascii	212	È	( letra "E" mayuscula con acento grave )
codigo ascii	213	ı	( Letra minuscula i sin punto )
codigo ascii	214	Í	( letra "i" mayuscula con acento agudo )
codigo ascii	215	Î	( letra "i" mayuscula con acento circunflejo )
codigo ascii	216	Ï	( letra "i" mayuscula con dieresis )
codigo ascii	217	┘	( Línea simple esquina de recuadro gráfico )
codigo ascii	218	┌	( Línea simple esquina de recuadro gráfico )
codigo ascii	219	█	( Bloque color pleno solido, carácter gráfico )
codigo ascii	220	▄	( Medio bloque color pleno, mitad inferior, carácter gráfico ) 
codigo ascii	221	¦	( barra vertical partida )  <---------------------
codigo ascii	222	Ì	( letra "i" mayuscula con acento grave )
codigo ascii	223	▀	( Medio bloque color pleno, mitad superior, carácter gráfico )
codigo ascii	224	Ó	( letra "O" mayúscula con acento agudo )
codigo ascii	225	ß	( letra alemana "eszett"  o "ese-zeta" )
codigo ascii	226	Ô	( letra "O" mayuscula con acento circunflejo )
codigo ascii	227	Ò	( letra "O" mayuscula con acento grave )
codigo ascii	228	õ	( letra "o" minuscula con tilde )
codigo ascii	229	Õ	( letra "O" mayuscula con tilde )
codigo ascii	230	µ	( signo micro )
codigo ascii	231	þ	( letra thorn latina minúscula )
codigo ascii	232	Þ	( letra thorn latina mayuscula )
codigo ascii	233	Ú	( letra "u" mayuscula con acento )
codigo ascii	234	Û	( letra "U" mayuscula con acento circunflejo )
codigo ascii	235	Ù	( letra "U" mayuscula con acento grave )
codigo ascii	236	ý	( letra "y" minuscula con acento agudo )
codigo ascii	237	Ý	( letra "Y" mayúscula con acento agudo )
codigo ascii	238	¯	( Macron ,marca larga,superguión, guión alto )
codigo ascii	239	´	( acento agudo )
codigo ascii	240	≡	( Símbolo matemático de congruencia )
codigo ascii	241	±	( signo mas menos )
codigo ascii	242	‗	( ASCII 242 )
codigo ascii	243	¾	( Tres cuartos, fracción )
codigo ascii	244	¶	( Fin de párrafo, signo de calderón )
codigo ascii	245	§	( signo de seccion )
codigo ascii	246	÷	( signo de division )
codigo ascii	247	¸	( Cedilla, virgulilla baja )
codigo ascii	248	°	( signo de grado )
codigo ascii	249	¨	( diéresis )
codigo ascii	250	·	( Punto centrado, punto medio, coma georgiana )
codigo ascii	251	¹	( superíndice uno )
codigo ascii	252	³	( Superíndice tres , potencia tres , al cubo )
codigo ascii	253	²	( Superíndice dos , al cuadrado )
codigo ascii	254	■	( ASCII 254 )
codigo ascii	255	nbsp	espacio sin separación - non breaking space
